address,square_feet,market_values,sales_prices,year_built,bedrooms,bathrooms,garage_sqft,garage_apt_sqft,porch_sqft,unfin_attic_sqft
1820 RUNWAY BLVD,2559,"{2023: 775000, 2022: 654000, 2021: 546000, 2020: 548000}",{2019: 517000},2019,4,3.5,440,0,245,0
1821 RUNWAY BLVD,2110,"{2023: 738000, 2022: 615500, 2021: 537000}",{2020: 539500},2019,3,2.5,550,0,239,0
1824 RUNWAY BLVD,1403,"{2023: 480000, 2022: 403500, 2021: 359500, 2020: 358500}",{2019: 347000},2019,3,1.5,480,0,160,0
1825 RUNWAY BLVD,1507,"{2023: 526500, 2022: 430000, 2021: 426000, 2020: 414500}","{2020: 432000, 2019: 432000}",2019,3,2.5,506,0,188,0
1900 RUNWAY BLVD,1717,{2023: 606500},{2022: 605500},2022,3,2.5,528,0,427,0
1901 RUNWAY BLVD,1698,{2023: 552500},{2022: 569000},2021,3,2.5,528,0,336,0
1904 RUNWAY BLVD,1838,{2023: 585000},{2022: 558500},2022,3,2.5,575,0,374,0
1905 RUNWAY BLVD,1691,"{2023: 512000, 2022: 512000}",{2021: 519000},2021,3,2.5,600,0,329,0
1908 RUNWAY BLVD,1601,"{2023: 555500, 2022: 460500}",{2021: 470000},2021,3,2.5,528,0,321,0
1909 RUNWAY BLVD,2508,{2023: 740000},{2022: 715000},2021,3,3.5,528,0,173,0
1912 RUNWAY BLVD,2198,"{2023: 653500, 2022: 653500}",{2021: 665500},2021,3,3.5,528,0,362,0
1913 RUNWAY BLVD,2725,{2023: 823500},{2022: 775000},2021,4,4.5,600,0,434,0
1916 RUNWAY BLVD,2209,"{2023: 587000, 2022: 587000}",{2021: 595000},2021,3,2.5,624,0,336,0
1917 RUNWAY BLVD,2734,{},{2023: 965000},2022,4,3.5,528,0,508,0
1920 RUNWAY BLVD,2487,"{2023: 732000, 2022: 694500}",{2021: 707500},2021,4,3.5,528,0,284,0
1921 RUNWAY BLVD,3971,{},{2023: 1261500},2022,4,4.5,711,0,476,0
1924 RUNWAY BLVD,2717,{},{},2023,4,3.5,1196,598,480,0
1925 RUNWAY BLVD,3269,{2023: 1118500},{2022: 1117500},2022,3,4.0,720,0,302,870
1701 OSO AVE,2806,{2023: 786500},{2022: 759500},2021,4,3.0,529,0,461,0
1705 OSO AVE,3225,{2023: 888500},{2022: 880000},2021,5,4.5,650,0,348,0
1709 OSO AVE,2388,{2023: 852500},{2022: 810000},2021,3,3.5,1135,511,238,0
1711 OSO AVE,2220,{2023: 723500},{2022: 722500},2022,3,3.5,600,0,264,0
1713 OSO AVE,1465,{2023: 506500},{2022: 485000},2022,3,2.5,396,0,424,0
1715 OSO AVE,1465,{2023: 507000},{2022: 469000},2022,3,2.5,396,0,328,0
1717 OSO AVE,1464,{2023: 502500},{2022: 464500},2022,3,2.5,396,0,168,0
1719 OSO AVE,1182,{2023: 400000},{2022: 399000},2022,2,2.5,396,0,391,0
1721 OSO AVE,1244,{2023: 400000},{2022: 399000},2022,3,2.5,286,0,117,0
1723 OSO AVE,1081,{2023: 350500},{2022: 349000},2022,3,2.5,286,0,108,0
1725 OSO AVE,1415,{2023: 483500},{2022: 474000},2022,3,2.5,276,0,216,0
1729 OSO AVE,2557,{2023: 828500},{2022: 827500},2022,4,3.5,528,0,372,0
1733 OSO AVE,2682,{},{2023: 918500},2023,3,3.5,528,0,332,0
1737 OSO AVE,2595,{},{2023: 879000},2022,4,3.5,528,0,144,0
1741 OSO AVE,3131,{2023: 986000},{2022: 985000},2022,4,3.5,484,0,303,162
1743 OSO AVE,1262,{2023: 419500},{2022: 419000},2022,3,2.5,252,0,96,0
1745 OSO AVE,1040,{2023: 409500},{2022: 389000},2022,2,2.5,264,0,108,0
1747 OSO AVE,1446,{2023: 493000},{2022: 489000},2022,3,2.5,276,0,222,0
1801 OSO AVE,1183,{2023: 542500},{2022: 541500},2022,3,2.5,264,0,209,0
1803 OSO AVE,1071,{2023: 412500},{2022: 389000},2022,2,2.5,286,0,96,0
1805 OSO AVE,1256,{},{2023: 419000},2022,3,2.5,273,0,96,0
1809 OSO AVE,2482,{},{2023: 827500},2022,3,3.5,528,0,425,0
1813 OSO AVE,2515,{},{2023: 845000},2023,4,3.5,528,0,360,0
1816 OSO AVE,1843,{},{2023: 649000},2022,3,2.5,420,0,283,0
1817 OSO AVE,2321,{},{2023: 924500},2022,3,2.5,528,0,510,0
1820 OSO AVE,1983,{2023: 635000},{},2022,3,2.5,575,0,293,0
1821 OSO AVE,2611,{},{2023: 977500},2023,4,3.5,528,0,396,0
1823 OSO AVE,1266,{},{2023: 419000},2022,3,2.5,252,0,96,0
1824 OSO AVE,1596,{},{2023: 615000},2022,3,2.5,528,0,376,0
1825 OSO AVE,1092,{},{2023: 389000},2023,2,2.5,286,0,108,0
1827 OSO AVE,1405,{},{2023: 499000},2023,3,2.5,276,0,216,0
1828 OSO AVE,1870,{},{2023: 629000},2022,3,2.5,575,0,361,0
1832 OSO AVE,1726,{},{2023: 629000},2022,3,1.5,600,0,301,0
1900 OSO AVE,1893,{},{2023: 925000},2022,3,2.5,572,0,504,0
1901 OSO AVE,1463,{},{2023: 499000},2023,3,2.5,288,0,222,0
1903 OSO AVE,1112,{},{2023: 389000},2023,3,2.5,286,0,114,0
1904 OSO AVE,2202,{},{2023: 925000},2022,3,2.5,525,0,187,0
1905 OSO AVE,1327,{},{2023: 419000},2023,3,2.5,286,0,102,0
1908 OSO AVE,,{},{},,,,,,,
1032 SW 16TH ST,3867,{},{2023: 1327000},2022,4,4.5,667,0,376,0
1036 SW 16TH ST,1704,{2023: 619000},{2022: 618000},2022,3,2.5,528,0,238,0
1040 SW 16TH ST,1938,{},{2023: 774000},2021,3,2.5,572,0,261,0
1044 SW 16TH ST,1820,{2023: 633500},{2022: 632500},2022,3,2.5,575,0,258,0
1048 SW 16TH ST,2292,{},{2023: 750000},2022,4,3.5,600,0,274,0
1052 SW 16TH ST,1552,{},{2023: 523500},2022,3,2.5,462,0,147,0
1060 SW 16TH ST,1552,{},{2023: 499000},2022,3,2.5,462,0,147,0
1813 WHEELER ST,1397,{2023: 421000},{2022: 420000},2021,2,3.0,361,0,20,0
1817 WHEELER ST,1535,"{2023: 484000, 2022: 419000}",{2021: 429000},2020,3,3.0,448,0,198,0
1821 WHEELER ST,1535,"{2023: 484000, 2022: 419000}",{2021: 429000},2020,3,3.0,448,0,198,0
1825 WHEELER ST,1498,"{2023: 430000, 2022: 430000}",{2021: 434000},2020,3,2.5,448,0,198,0
1829 WHEELER ST,1496,"{2023: 474000, 2022: 410000}",{2021: 429000},2020,3,2.5,448,0,198,0
1833 WHEELER ST,1535,"{2023: 484000, 2022: 419000}",{2021: 429000},2020,3,3.0,448,0,198,0
1837 WHEELER ST,1535,"{2023: 497000, 2022: 497000}",{2021: 511000},2020,3,3.0,448,0,198,0
1004 HANGAR DR,,{},{},2023,,0.0,0,0,0,0
1006 HANGAR DR,,{},{},2023,,0.0,0,0,0,0
1008 HANGAR DR,,{},{},2023,,0.0,0,0,0,0
1014 HANGAR DR,,{},{},2023,,0.0,0,0,0,0
1016 HANGAR DR,,{},{},2023,,0.0,0,0,0,0
1018 HANGAR DR,,{},{},2023,,0.0,0,0,0,0
1020 HANGAR DR,,{},{},2023,,0.0,0,0,0,0
1022 HANGAR DR,,{},{},2023,,0.0,0,0,0,0
1024 HANGAR DR,,{},{},2023,,0.0,0,0,0,0
901 HANGAR DR,,{},{},,,,,,,
952 HANGAR DR,720,{},{},2023,3,2.5,440,0,0,0
954 HANGAR DR,878,{},{},2023,3,2.5,480,0,0,0
962 HANGAR DR,1050,{},{},2023,3,2.5,574,0,0,0
964 HANGAR DR,1029,{},{},2023,2,2.5,273,0,180,0
966 HANGAR DR,1193,{},{},2023,2,2.5,318,0,168,0
968 HANGAR DR,1054,{},{},2023,2,2.5,294,0,180,0
972 HANGAR DR,805,{},{},2023,2,1.5,0,0,84,0
974 HANGAR DR,856,{},{},2023,2,1.5,0,0,94,0
976 HANGAR DR,829,{},{},2023,2,1.5,0,0,84,0
978 HANGAR DR,828,{},{},2023,2,1.5,0,0,84,0
980 HANGAR DR,829,{},{},2023,2,1.5,0,0,94,0
982 HANGAR DR,832,{},{},2023,2,1.5,0,0,84,0
988 HANGAR DR,1235,{},{},2023,2,2.5,247,0,150,0
990 HANGAR DR,1031,{},{},2023,2,2.5,273,0,108,0
992 HANGAR DR,1235,{},{},2023,2,2.5,247,0,150,0
994 HANGAR DR,998,{},{},2023,3,2.5,484,0,0,0
